Strain_Name,24_hr_Carb_1,24_hr_Carb_10,24_hr_Carb_11,24_hr_Carb_13,24_hr_Carb_14,24_hr_Carb_15,24_hr_Carb_16,24_hr_Carb_17,24_hr_Carb_18,24_hr_Carb_19,24_hr_Carb_2,24_hr_Carb_20,24_hr_Carb_21,24_hr_Carb_22,24_hr_Carb_23,24_hr_Carb_24,24_hr_Carb_25,24_hr_Carb_26,24_hr_Carb_27,24_hr_Carb_28,24_hr_Carb_3,24_hr_Carb_4,24_hr_Carb_5,24_hr_Carb_6,24_hr_Carb_7,24_hr_Carb_8,24_hr_Carb_9,72_hr_Carb_1,72_hr_Carb_10,72_hr_Carb_11,72_hr_Carb_13,72_hr_Carb_14,72_hr_Carb_15,72_hr_Carb_16,72_hr_Carb_17,72_hr_Carb_18,72_hr_Carb_19,72_hr_Carb_2,72_hr_Carb_20,72_hr_Carb_21,72_hr_Carb_22,72_hr_Carb_23,72_hr_Carb_24,72_hr_Carb_25,72_hr_Carb_26,72_hr_Carb_27,72_hr_Carb_28,72_hr_Carb_3,72_hr_Carb_4,72_hr_Carb_5,72_hr_Carb_6,72_hr_Carb_7,72_hr_Carb_8,72_hr_Carb_9,Bacteroides_Dropout_1,Bacteroides_Dropout_2,hc2_1,hc2_2
Acidaminococcus-fermentans-DSM-20731-MAF-2,0.147713,0.554029,95.8112,4.18147,0.310299,39.1852,60.5945,7.50951,3.96646,0.129881,0.226455,59.4563,12.1865,0.0183033,0.0360923,0.192421,0.391743,0.642888,25.924,98.5356,0.915809,52.5125,99.866,88.2543,25.4537,76.2569,90.3173,0.506963,69.083,99.1555,0.465342,97.6467,25.7271,99.7492,67.9432,0.0847868,15.8974,21.2752,0.104119,0.537183,13.6922,0.0310771,31.0566,0.0994466,0.699127,23.0921,87.5268,64.8184,99.091,99.8604,96.6915,99.2621,55.4445,6.92376,81.893,81.9847,65.8968,73.9601
Acidaminococcus-sp-D21-MAF-2,3.53736,1.51247,1.61922,7.58519,0.968807,11.2815,89.2945,2.48743,1.49416,1.45894,1.18149,2.36077,1.93328,1.28165,1.16848,1.52505,1.72636,3.65174,0.635012,5.57327,1.30963,1.54387,7.22359,1.61727,55.4969,2.6878,3.35326,12.7725,1.49373,2.882,4.45771,4.37087,38.2013,98.1551,87.4896,3.3828,1.7854,5.27543,0.547215,2.12969,1.52795,1.10436,1.53381,1.19116,97.8902,2.92546,2.01617,2.50465,97.6198,1.68619,2.00698,80.9654,1.85255,99.4609,95.1655,95.0671,87.6949,90.3016
Adlercreutzia-equolifaciens-DSM-19450,0.0685758,0.0164191,0.0492921,0.379071,0.0258862,0.129291,0.298373,0.0154409,0.061589,0.0213099,0.0762613,0.11427,0.0709164,0.0347246,0.0141134,0.0887328,0.0730124,0.221343,0.0286111,0.0188645,0.00447158,0.0109344,0.587803,0.0250478,0.0252574,0.0611348,0.0213797,0.0643837,0.019633,0.0544973,0.0861477,0.0266548,0.0371001,0.0528903,0.0246635,0.0211002,0.0209605,0.0529952,0.0315805,0.0224277,0.0182356,0.021205,0.018026,0.0344451,0.0672832,0.0107597,0.00517026,0.0137641,0.0353534,0.0200522,0.0167684,0.0158951,0.0256417,0.0243841,11.4428,10.222,8.55947,9.80739
Akkermansia-muciniphila-ATCC-BAA-835-MAF-2,1.40531,0.0736162,0.028981,22.5109,0.115699,3.85984,99.9977,0.161911,0.319992,0.39571,1.18563,1.95002,2.77594,0.121442,0.0414067,0.412716,3.20983,6.05165,0.0446727,0.00799604,0.0586752,0.0164801,0.050041,0.0391919,0.136458,0.0858918,0.0305577,0.859181,0.033711,0.0105863,2.79084,0.0589755,0.275695,99.9966,0.164876,0.0158419,0.0361887,0.383472,0.452283,0.372323,0.0288683,0.0460242,0.0848407,0.877913,0.953894,0.0305577,0.0360761,0.00675722,0.00210225,0,0.044898,0.0133267,0.00409187,0.0207221,99.8634,99.8481,98.7461,99.4819
Alistipes-finegoldii-DSM-17242,15.114,1.35647,8.78179,85.3466,9.12095,41.5355,95.7188,2.48956,20.286,26.812,6.39265,17.3116,17.2424,2.66785,1.97716,3.05425,22.6667,29.9057,5.40054,2.0097,51.1381,7.29787,5.65748,1.69105,18.9169,12.5919,2.29364,6.04161,1.1649,98.915,8.41352,53.4459,9.67308,99.3861,43.4243,59.7361,49.9581,8.11258,2.80662,7.86637,3.72686,6.08676,30.9938,8.77102,2.06832,54.1409,2.20712,73.0263,95.7026,43.1991,1.62223,60.6477,39.6219,19.0648,99.9898,99.9863,99.9785,99.9796
Alistipes-ihumii-AP11-MAF-2,12.886,1.00251,8.0933,75.9273,1.24945,20.3192,2.07312,0.907945,3.74876,4.00577,8.07211,14.2608,15.4551,0.793197,1.56082,2.65916,21.7893,24.5604,0.619133,0.508486,3.53455,5.67634,5.51677,1.07204,1.1101,11.0554,8.18017,53.4501,6.88842,8.31898,66.1884,6.30385,23.152,5.26101,1.93312,25.9683,24.6361,39.6599,35.9588,33.7235,8.28704,32.3036,8.22596,24.3082,9.23294,13.1736,0.445034,19.9317,6.98068,15.4829,1.66647,1.8997,25.8907,27.9022,99.9855,99.9786,99.9828,99.9809
Alistipes-indistinctus-YIT-12060-DSM-22520-MAF-2,17.5548,1.83829,3.08191,96.8777,3.09997,34.1033,4.95114,3.23786,6.82606,7.98738,10.8922,23.6942,24.912,3.73708,2.16624,5.35573,39.7963,41.2024,1.7951,0.545872,6.33031,8.47488,9.67532,1.13007,2.6754,16.6564,11.354,17.8175,3.15229,4.00428,33.8121,11.2136,9.02306,8.68293,4.29478,10.9038,10.8297,8.7055,8.52531,9.55808,11.4551,4.79257,9.5696,15.3792,14.7994,11.2685,2.72138,11.3214,6.42438,4.29643,1.15876,8.69861,18.0805,13.795,99.9983,99.9969,99.9976,99.9973
Alistipes-onderdonkii-DSM-19147-MAF-2,4.29258,2.48435,2.11175,14.9616,2.03556,11.8683,9.49554,2.4405,4.52103,4.44988,6.0718,7.57397,5.44995,2.42858,2.62548,3.49333,6.30411,4.45143,1.10341,1.48684,4.2879,2.11384,2.91515,2.19375,1.7538,2.9972,2.90016,2.53878,2.39845,5.21372,0.948872,4.24601,3.14285,20.1465,3.76303,5.29244,6.89118,7.60454,1.83616,3.06253,2.95653,2.48262,4.3691,2.68422,0.646149,4.25727,2.7816,9.49459,5.44752,4.04797,2.79907,3.71967,4.28596,3.36068,99.6523,99.6224,97.5149,98.142
Alistipes-putredinis-DSM-17216-MAF-2,0.631179,0.847659,0.738047,2.54705,0.686827,1.9216,2.54713,0.474932,1.22137,1.57791,0.589834,1.35253,1.22838,1.84714,0.78766099999999994,0.772847,1.56737,1.09561,0.723979,0.359089,1.97227,1.28928,1.26048,0.756662,1.003,1.22967,1.49777,0.891629,0.850794,2.11233,0.478812,1.83272,1.17646,2.74331,1.62811,2.03462,2.07671,1.01378,0.845661,0.94426,1.77201,0.97087,1.37166,0.996342,0.261548,1.7782,1.12379,2.44508,2.32144,1.79827,1.73466,1.65241,1.90529,1.41727,5.17029,5.1371,5.29201,5.366
Alistipes-senegalensis-JC50-DSM-25460-MAF-2,0.375448,0.0428515,0.173842,2.37592,0.252361,1.10126,2.09741,0.121645,1.12289,1.83605,0.154927,0.503406,0.544989,0.14317,0.118712,4.6945,0.599076,0.710778,0.262776,0.058113,0.972311,0.2975,0.182566,0.146898,0.53000100000000006,0.354867,0.226835,0.180677,0.0582124,2.03589,0.234167,1.6086,4.61069,2.49829,0.727233,63.0919,54.2644,8.10696,0.446859,0.366723,15.7824,3.16537,64.6898,0.19750499999999999,0.0831677,10.8014,0.0948997,45.462,1.89034,0.853774,0.259868,1.18846,2.64061,0.457994,37.7662,35.0731,28.2204,32.8817
