"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.44.contigs__","d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__SZUA-401;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","75.9","0.7954076775","-"
"Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.54.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalorhabdales;f__Thiohalorhabdaceae;g__Thiohalorhabdus;s__","-","-","-","-","-","GCF_001399755.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalorhabdales;f__Thiohalorhabdaceae;g__Thiohalorhabdus;s__Thiohalorhabdus denitrificans","81.88","0.63","taxonomic classification defined by topology and ANI","-","-","70.86","0.8739257845","Genome has more than 16.7% of markers with multiple hits"
"Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.9.contigs__","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Dethiosulfatibacteraceae;g__UBA8670;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","69.39","0.9311072313","-"
"Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.15.contigs__","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Fodinibius;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","67.06","0.9391250047","-"
"Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.18.contigs__","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__YR4-1;s__","-","-","-","-","-","GCF_011059145.1","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__YR4-1;s__YR4-1 sp011059145","79.66","0.5","taxonomic classification defined by topology and ANI","-","-","94.1","0.958577614","-"
"Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.26.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas fontilapidosi","GCF_014192285.1","95","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas fontilapidosi","98.72","0.94","GCF_014192285.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas fontilapidosi","98.72","0.94","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCF_004363555.1, s__Halomonas ventosae...","89.12","-","-"
"Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.45.contigs__","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalospirales;f__Thiohalospiraceae;g__Thiohalospira;s__","-","-","-","-","-","GCF_900112605.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiohalospirales;f__Thiohalospiraceae;g__Thiohalospira;s__Thiohalospira halophila","90.32","0.84","taxonomic classification defined by topology and ANI","-","-","98.69","0.9854574353","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.47.contigs__","d__Bacteria;p__Firmicutes_F;c__Halanaerobiia;o__Halanaerobiales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","94.16","0.6977065655","-"
"Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.51.contigs__","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__BM714;g__BM714;s__","-","-","-","-","-","GCA_002869095.1","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__BM714;g__BM714;s__BM714 sp002869095","88.34","0.85","taxonomic classification defined by topology and ANI","-","-","96.39","0.9719921931","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.6.contigs__","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Fodinibius;s__","-","-","-","-","-","GCF_002287075.1","d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Fodinibius;s__Fodinibius sp002287075","80.9","0.41","taxonomic classification defined by topology and ANI","-","-","68.67","0.9821637586","Genome has more than 14.2% of markers with multiple hits"
