Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination
Salt_Pond_MetaGSF2_A_D1_MG_DASTool_bins_concoct_out.23.contigs__.RAST	c__Deltaproteobacteria	62	280	168	3	270	7	0	0	0	98.21	2.55
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.11.contigs__.RAST	k__Bacteria	138	335	244	67	257	11	0	0	0	76.91	3.48
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.13.contigs__.RAST	c__Deltaproteobacteria	83	247	155	10	199	36	2	0	0	95.13	17.67
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.28.contigs__.RAST	c__Deltaproteobacteria	83	247	155	4	236	7	0	0	0	98.39	3.55
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.33.contigs__.RAST	c__Gammaproteobacteria	119	544	284	78	444	22	0	0	0	84.12	4.67
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.40.contigs__.RAST	k__Bacteria	433	274	183	4	264	6	0	0	0	98.09	1.96
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.55.contigs__.RAST	c__Gammaproteobacteria	263	503	230	114	367	21	1	0	0	76.17	6.54
Salt_Pond_MetaGSF2_A_D2_MG_DASTool_bins_concoct_out.8.contigs__.RAST	c__Deltaproteobacteria	83	247	155	3	236	8	0	0	0	98.55	5.16
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_concoct_out.23.contigs__.RAST	c__Deltaproteobacteria	83	247	155	50	194	3	0	0	0	76.81	1.61
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_concoct_out.33.contigs__.RAST	k__Bacteria	433	274	183	15	251	8	0	0	0	93.17	3.87
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.14.contigs__.RAST	c__Deltaproteobacteria	83	247	155	45	195	6	1	0	0	86.2	4.68
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.23.contigs__.RAST	c__Gammaproteobacteria	356	451	270	52	394	5	0	0	0	92.83	0.37
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.28.contigs__.RAST	s__algicola	47	571	303	75	477	19	0	0	0	82.31	3.11
Salt_Pond_MetaGSF2_A_H2O_MG_DASTool_bins_metabat.34.contigs__.RAST	c__Gammaproteobacteria	112	577	287	59	504	14	0	0	0	90.08	2.73
Salt_Pond_MetaGSF2_B_D1_MG_DASTool_bins_concoct_out.44.contigs__.RAST	s__algicola	47	571	303	90	428	51	1	1	0	83.2	8.99
Salt_Pond_MetaGSF2_B_D1_MG_DASTool_bins_metabat.9.contigs__.RAST	c__Deltaproteobacteria	83	247	155	14	221	11	1	0	0	93.51	5.23
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_concoct_out.42.contigs__.RAST	k__Bacteria	2921	143	88	2	139	2	0	0	0	97.73	2.27
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_concoct_out.55.contigs__.RAST	c__Gammaproteobacteria	119	544	284	103	420	19	1	1	0	83.21	5.13
Salt_Pond_MetaGSF2_B_D2_MG_DASTool_bins_metabat.4.contigs__.RAST	k__Bacteria	433	274	183	6	254	14	0	0	0	97.27	3.92
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_concoct_out.14.contigs__.RAST	o__Actinomycetales	580	286	171	39	231	15	1	0	0	84.15	7.8
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_concoct_out.91.contigs__.RAST	c__Gammaproteobacteria	356	451	270	102	343	6	0	0	0	78.57	1.3
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.11.contigs__.RAST	c__Gammaproteobacteria	356	451	270	56	363	30	2	0	0	84.97	8.68
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.19.contigs__.RAST	f__Rhodobacteraceae	67	615	329	96	500	19	0	0	0	83.94	3.06
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.25.contigs__.RAST	k__Bacteria	434	278	186	11	265	2	0	0	0	97.46	0.56
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.28.contigs__.RAST	s__algicola	47	571	303	117	396	52	6	0	0	77.17	10.16
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.39.contigs__.RAST	k__Bacteria	5449	102	58	11	74	17	0	0	0	84.48	8.62
Salt_Pond_MetaGSF2_B_H2O_MG_DASTool_bins_metabat.8.contigs__.RAST	f__Rhodobacteraceae	84	568	330	25	518	24	1	0	0	96.81	4.29
Salt_Pond_MetaGSF2_C_D1_MG_DASTool_bins_concoct_out.13.contigs__.RAST	k__Bacteria	138	335	244	18	272	45	0	0	0	95.61	15.1
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.13.contigs__.RAST	k__Bacteria	2921	142	87	23	109	10	0	0	0	80.02	4.58
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.15.contigs__.RAST	k__Bacteria	433	274	183	7	263	4	0	0	0	96.72	1.5
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.17.contigs__.RAST	k__Bacteria	434	278	186	4	263	11	0	0	0	97.85	4.16
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.24.contigs__.RAST	k__Bacteria	433	274	183	7	260	7	0	0	0	96.99	3.01
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.25.contigs__.RAST	f__Halobacteriaceae	60	359	235	58	285	16	0	0	0	80.41	4.28
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.26.contigs__.RAST	k__Bacteria	433	274	183	12	230	28	4	0	0	93.99	13.71
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.3.contigs__.RAST	c__Gammaproteobacteria	119	544	284	16	505	21	2	0	0	95.54	4.9
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.32.contigs__.RAST	k__Bacteria	434	278	186	25	238	14	1	0	0	89.73	4.85
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.39.contigs__.RAST	c__Gammaproteobacteria	119	544	284	51	480	12	1	0	0	87.18	2.11
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.42.contigs__.RAST	c__Deltaproteobacteria	83	247	155	18	219	9	1	0	0	91.56	4.99
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_concoct_out.8.contigs__.RAST	c__Gammaproteobacteria	119	544	284	2	519	22	1	0	0	99.53	5.21
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.11.contigs__.RAST	c__Gammaproteobacteria	119	544	284	5	521	16	2	0	0	99.55	4.38
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.16.contigs__.RAST	k__Bacteria	169	316	236	17	290	9	0	0	0	93.64	1.86
Salt_Pond_MetaGSF2_C_D2_MG_DASTool_bins_metabat.19.contigs__.RAST	c__Gammaproteobacteria	119	544	284	49	490	5	0	0	0	86.41	1.26
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.13.contigs__.RAST	f__Rhodobacteraceae	84	568	330	8	535	24	1	0	0	98.11	3.81
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.16.contigs__.RAST	k__Bacteria	88	230	148	35	174	21	0	0	0	81.93	10.59
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.29.contigs__.RAST	k__Bacteria	525	208	136	18	162	28	0	0	0	89.34	14.84
Salt_Pond_MetaGSF2_C_H2O_MG_DASTool_bins_metabat.49.contigs__.RAST	o__Actinomycetales	580	286	171	51	226	9	0	0	0	82.65	3.36
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.44.contigs__.RAST	c__Deltaproteobacteria	83	247	155	39	202	6	0	0	0	80.96	2.94
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.5.contigs__.RAST	f__Halobacteriaceae	51	395	250	29	354	12	0	0	0	92.6	4.13
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.54.contigs__.RAST	p__Proteobacteria	2231	190	119	13	151	26	0	0	0	90.7	12.75
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.9.contigs__.RAST	o__Clostridiales	304	250	143	49	193	8	0	0	0	80.86	2.89
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.15.contigs__.RAST	k__Bacteria	433	274	183	53	195	24	2	0	0	84.57	11.21
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.18.contigs__.RAST	k__Bacteria	433	274	183	7	263	4	0	0	0	96.72	1.37
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.26.contigs__.RAST	c__Gammaproteobacteria	263	507	232	15	462	29	1	0	0	97.0	5.21
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.45.contigs__.RAST	c__Gammaproteobacteria	119	544	284	7	534	3	0	0	0	98.15	0.82
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.47.contigs__.RAST	p__Firmicutes	930	207	114	2	204	1	0	0	0	98.68	0.44
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.51.contigs__.RAST	o__Clostridiales	304	247	141	0	245	2	0	0	0	100.0	1.06
Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.metabat.6.contigs__.RAST	k__Bacteria	433	274	183	42	197	32	3	0	0	83.5	12.26
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.1.contigs__.RAST	p__Firmicutes	930	207	114	33	159	15	0	0	0	81.38	6.01
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.109.contigs__.RAST	k__Bacteria	434	278	186	8	258	12	0	0	0	95.97	4.82
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.21.contigs__.RAST	p__Euryarchaeota	95	228	153	4	220	4	0	0	0	98.37	2.61
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.25.contigs__.RAST	k__Bacteria	2993	141	87	24	115	2	0	0	0	86.35	1.25
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.51.contigs__.RAST	k__Bacteria	434	278	186	64	203	11	0	0	0	77.76	3.92
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.15.contigs__.RAST	k__Bacteria	2993	142	88	14	114	13	1	0	0	87.43	14.41
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.27.contigs__.RAST	o__Clostridiales	304	247	141	7	238	2	0	0	0	96.81	0.95
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.31.contigs__.RAST	p__Bacteroidetes	350	316	210	27	281	8	0	0	0	89.05	2.33
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.36.contigs__.RAST	p__Bacteroidetes	350	316	210	59	252	5	0	0	0	80.88	2.06
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.45.contigs__.RAST	p__Firmicutes	930	209	115	29	163	16	1	0	0	88.33	11.75
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.48.contigs__.RAST	o__Clostridiales	304	247	141	42	200	5	0	0	0	91.97	2.48
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.50.contigs__.RAST	o__Clostridiales	304	247	141	7	238	2	0	0	0	99.16	1.06
Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_metabat.84.contigs__.RAST	k__Bacteria	5449	104	58	10	94	0	0	0	0	84.48	0.0
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_concoct_out.2.contigs__.RAST	s__algicola	33	496	263	12	471	13	0	0	0	96.45	2.85
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_maxbin.022.contigs__.RAST	c__Gammaproteobacteria	119	544	284	143	383	17	1	0	0	77.53	2.52
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.14.contigs__.RAST	f__Halobacteriaceae	40	417	263	44	354	18	1	0	0	88.54	4.81
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.6.contigs__.RAST	s__algicola	33	496	263	91	395	10	0	0	0	79.65	1.55
Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.8.contigs__.RAST	f__Halobacteriaceae	40	417	263	12	389	15	1	0	0	96.97	2.42
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.53.contigs__.RAST	k__Bacteria	433	267	178	7	256	4	0	0	0	98.03	0.91
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.59.contigs__.RAST	p__Firmicutes	930	209	115	41	136	30	2	0	0	79.68	20.23
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_concoct_out.89.contigs__.RAST	s__algicola	33	496	263	9	464	22	1	0	0	97.91	4.04
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.13.contigs__.RAST	k__Bacteria	433	274	183	37	233	3	1	0	0	96.17	1.64
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.16.contigs__.RAST	k__Bacteria	901	171	117	2	166	3	0	0	0	98.29	2.14
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.20.contigs__.RAST	f__Rhodobacteraceae	84	568	330	7	543	18	0	0	0	98.48	3.11
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.28.contigs__.RAST	p__Bacteroidetes	364	302	202	12	286	4	0	0	0	94.68	0.78
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.29.contigs__.RAST	c__Gammaproteobacteria	67	481	276	38	427	16	0	0	0	90.28	3.54
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.32.contigs__.RAST	f__Rhodobacteraceae	46	654	332	21	613	20	0	0	0	96.08	3.65
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.38.contigs__.RAST	c__Gammaproteobacteria	67	481	276	30	439	12	0	0	0	94.15	2.47
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.40.contigs__.RAST	f__Rhodobacteraceae	67	617	330	5	610	2	0	0	0	98.73	0.12
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.41.contigs__.RAST	k__Bacteria	169	316	236	13	300	2	1	0	0	95.34	1.69
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.49.contigs__.RAST	k__Bacteria	2993	142	88	21	112	9	0	0	0	83.16	5.99
Salt_Pond_MetaG_R1_B_D1_MG_DASTool_bins_metabat.58.contigs__.RAST	k__Bacteria	5443	105	59	0	105	0	0	0	0	100.0	0.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.120.contigs__.RAST	k__Bacteria	5443	105	59	6	97	2	0	0	0	96.15	2.54
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.37.contigs__.RAST	f__Rhodobacteraceae	46	654	332	166	472	16	0	0	0	75.18	2.72
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.51.contigs__.RAST	f__Rhodobacteraceae	46	654	332	154	465	34	1	0	0	76.06	5.89
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.73.contigs__.RAST	p__Firmicutes	930	209	115	38	149	21	1	0	0	76.23	5.55
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.86.contigs__.RAST	p__Bacteroidetes	364	302	202	23	277	2	0	0	0	91.42	0.99
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_concoct_out.87.contigs__.RAST	s__algicola	33	496	263	87	385	23	1	0	0	77.04	4.0
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_maxbin.014.contigs__.RAST	c__Gammaproteobacteria	263	504	231	2	487	15	0	0	0	99.52	3.29
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.14.contigs__.RAST	k__Bacteria	433	274	183	44	222	8	0	0	0	88.03	3.66
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.16.contigs__.RAST	c__Gammaproteobacteria	119	544	284	85	429	29	1	0	0	84.5	5.01
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.18.contigs__.RAST	f__Rhodobacteraceae	46	654	332	35	590	28	1	0	0	94.58	3.74
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.19.contigs__.RAST	k__Bacteria	2993	142	88	30	102	9	0	1	0	85.41	12.04
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.27.contigs__.RAST	k__Bacteria	2993	147	91	4	137	5	1	0	0	97.6	4.62
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.28.contigs__.RAST	f__Rhodobacteraceae	46	654	332	6	639	9	0	0	0	99.05	0.74
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.30.contigs__.RAST	c__Deltaproteobacteria	83	247	155	9	235	3	0	0	0	96.67	1.94
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.34.contigs__.RAST	s__algicola	47	571	303	55	486	29	1	0	0	89.62	4.6
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.37.contigs__.RAST	k__Bacteria	434	278	186	50	207	21	0	0	0	78.37	4.37
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.63.contigs__.RAST	o__Clostridiales	304	247	141	2	244	1	0	0	0	98.58	0.71
Salt_Pond_MetaG_R1_B_D2_MG_DASTool_bins_metabat.78.contigs__.RAST	k__Bacteria	2993	143	89	18	124	1	0	0	0	83.08	1.12
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.13.contigs__.RAST	k__Bacteria	434	278	186	51	221	6	0	0	0	80.04	1.63
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.19.contigs__.RAST	o__Actinomycetales	580	286	171	7	273	6	0	0	0	96.2	2.11
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_concoct_out.22.contigs__.RAST	c__Gammaproteobacteria	1164	275	174	32	236	7	0	0	0	88.44	1.44
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_maxbin.028.contigs__.RAST	c__Gammaproteobacteria	119	544	284	70	441	31	2	0	0	86.11	7.92
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.11.contigs__.RAST	s__algicola	33	496	263	3	491	2	0	0	0	99.11	0.57
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.17.contigs__.RAST	f__Halobacteriaceae	40	417	263	79	331	7	0	0	0	84.46	2.38
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.5.contigs__.RAST	c__Gammaproteobacteria	263	506	232	30	435	39	2	0	0	92.27	9.27
Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.7.contigs__.RAST	c__Gammaproteobacteria	112	579	289	63	509	7	0	0	0	88.97	1.11
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_concoct_out.45.contigs__.RAST	k__Bacteria	2993	142	88	19	119	4	0	0	0	82.72	3.51
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_maxbin.047.contigs__.RAST	o__Clostridiales	304	247	141	31	159	57	0	0	0	85.63	24.52
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.19.contigs__.RAST	p__Bacteroidetes	364	302	202	11	290	1	0	0	0	95.17	0.5
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.27.contigs__.RAST	c__Deltaproteobacteria	83	247	155	7	239	1	0	0	0	96.77	0.65
Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.31.contigs__.RAST	f__Halobacteriaceae	40	417	263	74	322	19	2	0	0	82.03	4.16
