"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"Salt_Pond_MetaG_R1_A_D1_MG_DASTool_bins.concoct_out.5.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","92.58","0.8281041155","-"
"Salt_Pond_MetaG_R1_A_D2_MG_DASTool_bins_concoct_out.21.contigs__","d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCF_006546655.1, s__Methanolobus vulca...","94.32","0.8423763083","-"
"Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.14.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloquadratum;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","84.5","0.9368615773","-"
"Salt_Pond_MetaG_R1_A_H2O_MG_DASTool_bins_metabat.8.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCF_001542905.1, s__Halorubrum aethiop...","93.91","0.9575935181","-"
"Salt_Pond_MetaG_R1_B_H2O_MG_DASTool_bins_metabat.17.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloquadratum;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","71.7","0.9364841678","-"
"Salt_Pond_MetaG_R1_C_D1_MG_DASTool_bins_metabat.31.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema hispanicum_A","GCF_900111485.1","95","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema hispanicum_A","98.37","0.96","GCF_900111485.1","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema hispanicum_A","98.37","0.96","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCF_004217335.1, s__Natrinema hispanic...","76.07","-","-"
"Salt_Pond_MetaG_R1_C_H2O_MG_DASTool_bins_metabat.29.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloquadratum;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","88.27","0.9370031581","-"
"Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_concoct_out.19.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halonotius;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCF_006861665.1, s__Halonotius terrest...","67.68","0.9623969514","Genome has more than 12.3% of markers with multiple hits"
"Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_concoct_out.67.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__CBA1134;s__CBA1134 sp009184545","GCF_009184545.1","95","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__CBA1134;s__CBA1134 sp009184545","99.73","0.97","GCF_009184545.1","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__CBA1134;s__CBA1134 sp009184545","99.73","0.97","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCF_001950595.1, s__CBA1134 sp00195059...","91.39","-","-"
"Salt_Pond_MetaG_R2_A_D2_MG_DASTool_bins_concoct_out.9.contigs__","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003990725","GCF_003990725.2","95","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003990725","97.45","0.97","GCF_003990725.2","d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp003990725","97.45","0.97","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCF_000337375.1, s__Halorubrum lipolyt...","83.9","-","-"
