#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
190263/527/1.f:HGADJN_00645 -           1860 GH121.hmm            -           1392         0 2184.3  90.0   1   2         0         0 2049.2  68.2     9  1391    13  1444     4  1445 0.98 [190263/527/1]
190263/527/1.f:HGADJN_00645 -           1860 GH121.hmm            -           1392         0 2184.3  90.0   2   2   1.1e-43   5.3e-40  141.1  13.9  1095  1329  1478  1743  1471  1794 0.76 [190263/527/1]
190263/420/1.f:GMHOLO_00600 -           1860 GH121.hmm            -           1392         0 2179.4  92.0   1   2         0         0 2044.2  70.0     9  1391    13  1444     4  1445 0.98 [190263/420/1]
190263/420/1.f:GMHOLO_00600 -           1860 GH121.hmm            -           1392         0 2179.4  92.0   2   2     1e-43   4.8e-40  141.3  14.0  1095  1329  1478  1743  1471  1794 0.77 [190263/420/1]
190263/527/1.f:HGADJN_00650 -           1137 GH121.hmm            -           1392   1.5e-68  235.7  44.9   1   2     1e-43   4.8e-40  141.3  14.9  1059  1314   431   692   342   724 0.75 [190263/527/1]
190263/527/1.f:HGADJN_00650 -           1137 GH121.hmm            -           1392   1.5e-68  235.7  44.9   2   2   9.9e-33   4.7e-29  104.9  16.6   924  1293   747  1109   731  1131 0.69 [190263/527/1]
190263/409/1.f:AJJCMD_02925 -           1874 GH121.hmm            -           1392   2.4e-32  115.8   9.7   1   1   3.4e-21   1.6e-17   66.7   0.9  1235  1386  1149  1296  1142  1299 0.89 [190263/409/1]
190263/545/1.f:NCJBIN_15855 -           1103 GH121.hmm            -           1392   1.9e-28  102.9  15.5   1   1   5.9e-32   2.8e-28  102.3  11.0   297   781   634  1099   620  1102 0.80 [190263/545/1]
190263/534/1.f:OHCFJE_15240 -           1103 GH121.hmm            -           1392   2.7e-28  102.4  15.4   1   1   8.5e-32     4e-28  101.8  10.9   297   781   634  1099   620  1102 0.80 [190263/534/1]
190263/391/1.f:NONBJF_15325 -           1103 GH121.hmm            -           1392   2.7e-28  102.3  15.4   1   1   8.5e-32     4e-28  101.8  10.9   297   781   634  1099   620  1102 0.80 [190263/391/1]
190263/562/1.f:KJGNCK_17895 -           1106 GH121.hmm            -           1392   2.8e-28  102.3  10.0   1   1   1.2e-30   5.5e-27   98.0  10.0   308   781   649  1101   624  1104 0.82 [190263/562/1]
190263/388/1.f:FDDJJK_14075 -           1103 GH121.hmm            -           1392   3.8e-28  101.9  14.4   1   1   1.9e-28     9e-25   90.7   0.5   494   781   815  1099   794  1102 0.81 [190263/388/1]
190263/585/1.f:DLBDDB_14305 -           1107 GH121.hmm            -           1392   9.4e-28  100.6  10.9   1   1   1.1e-30   5.3e-27   98.1  10.9   308   783   649  1103   625  1105 0.82 [190263/585/1]
190263/552/1.f:EMALNL_16935 -           1106 GH121.hmm            -           1392   1.6e-27   99.8   9.1   1   1   5.3e-30   2.5e-26   95.8   9.1   308   782   649  1102   625  1105 0.82 [190263/552/1]
