#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
190263/562/1.f:KJGNCK_10995 -            921 GH106.hmm            -            824         0 1031.8   0.4   1   1         0         0 1031.6   0.4     3   823    21   915    19   916 0.98 [190263/562/1]
190263/552/1.f:EMALNL_10920 -            921 GH106.hmm            -            824         0 1031.0   0.4   1   1         0         0 1030.8   0.4     3   823    21   915    19   916 0.98 [190263/552/1]
190263/504/1.f:DOAHDM_10460 -            924 GH106.hmm            -            824         0 1029.5   0.5   1   1         0         0 1029.3   0.5     3   823    20   914    17   915 0.98 [190263/504/1]
190263/573/1.f:LIDFCI_13380 -            921 GH106.hmm            -            824         0 1028.2   0.4   1   1         0         0 1027.9   0.4     3   823    20   914    18   915 0.97 [190263/573/1]
190263/401/1.f:DMFJNH_10075 -            924 GH106.hmm            -            824         0 1027.7   0.5   1   1         0         0 1027.6   0.5     3   823    20   914    17   915 0.98 [190263/401/1]
190263/475/1.f:MCKEEP_09820 -            921 GH106.hmm            -            824         0 1027.6   0.5   1   1         0         0 1027.4   0.5     3   823    20   914    18   915 0.98 [190263/475/1]
190263/388/1.f:FDDJJK_00975 -            920 GH106.hmm            -            824         0 1025.3   1.9   1   1         0         0 1025.1   1.9     3   823    19   915    16   916 0.98 [190263/388/1]
190263/534/1.f:OHCFJE_01760 -            920 GH106.hmm            -            824         0 1024.9   2.6   1   1         0         0 1024.7   2.6     3   823    19   915    16   916 0.97 [190263/534/1]
190263/545/1.f:NCJBIN_01110 -            920 GH106.hmm            -            824         0 1024.2   2.3   1   1         0         0 1024.0   2.3     3   823    19   915    16   916 0.97 [190263/545/1]
190263/391/1.f:NONBJF_00995 -            920 GH106.hmm            -            824         0 1023.9   2.3   1   1         0         0 1023.7   2.3     3   823    19   915    16   916 0.97 [190263/391/1]
190263/437/1.f:LBKKEJ_17365 -            923 GH106.hmm            -            824  2.1e-296  989.9   2.2   1   1  9.1e-299  3.7e-296  989.1   2.2     3   823    19   917    16   918 0.97 [190263/437/1]
190263/585/1.f:DLBDDB_07775 -            918 GH106.hmm            -            824    5e-294  982.0   2.4   1   1  1.5e-296  6.2e-294  981.7   2.4     3   823    19   913    17   914 0.98 [190263/585/1]
190263/497/1.f:HENFFC_03395 -            930 GH106.hmm            -            824  8.4e-293  978.0   0.0   1   1  2.6e-295    1e-292  977.7   0.0     4   823    27   921    25   922 0.98 [190263/497/1]
190263/399/1.f:CDLIDF_03855 -            924 GH106.hmm            -            824  1.2e-291  974.2   0.0   1   1  3.5e-294  1.4e-291  973.9   0.0     3   823    20   918    18   919 0.97 [190263/399/1]
190263/466/1.f:PGJOII_05115 -            929 GH106.hmm            -            824  1.3e-284  950.9   0.0   1   1  3.9e-287  1.6e-284  950.6   0.0     5   823    23   919    20   920 0.97 [190263/466/1]
190263/502/1.f:NONHGB_02045 -            942 GH106.hmm            -            824  3.4e-284  949.5   0.2   1   1    1e-286  4.1e-284  949.2   0.2     5   823    24   936    20   937 0.95 [190263/502/1]
190263/405/1.f:EHKDKA_02255 -            942 GH106.hmm            -            824  7.1e-284  948.5   0.3   1   1  2.2e-286  8.8e-284  948.1   0.3     5   823    24   936    20   937 0.96 [190263/405/1]
190263/475/1.f:MCKEEP_09610 -           1049 GH106.hmm            -            824  7.1e-279  931.9   0.0   1   2   5.9e-37   2.4e-34  123.1   0.7     3   168    32   187    30   218 0.88 [190263/475/1]
190263/475/1.f:MCKEEP_09610 -           1049 GH106.hmm            -            824  7.1e-279  931.9   0.0   2   2  1.8e-243  7.1e-241  806.2   0.0    86   823   324  1041   320  1042 0.97 [190263/475/1]
190263/401/1.f:DMFJNH_03595 -           1544 GH106.hmm            -            824  4.2e-275  919.4   0.0   1   3   4.6e-41   1.9e-38  136.6   0.1     2   158   356   501   355   507 0.98 [190263/401/1]
190263/401/1.f:DMFJNH_03595 -           1544 GH106.hmm            -            824  4.2e-275  919.4   0.0   2   3  5.4e-181  2.2e-178  599.5   0.0    94   652   539  1104   509  1133 0.94 [190263/401/1]
190263/401/1.f:DMFJNH_03595 -           1544 GH106.hmm            -            824  4.2e-275  919.4   0.0   3   3   1.2e-53   4.7e-51  178.3   0.1   659   823  1334  1536  1320  1537 0.95 [190263/401/1]
190263/504/1.f:DOAHDM_04030 -           1544 GH106.hmm            -            824  4.2e-275  919.4   0.0   1   3   4.6e-41   1.9e-38  136.6   0.1     2   158   356   501   355   507 0.98 [190263/504/1]
190263/504/1.f:DOAHDM_04030 -           1544 GH106.hmm            -            824  4.2e-275  919.4   0.0   2   3  5.4e-181  2.2e-178  599.5   0.0    94   652   539  1104   509  1133 0.94 [190263/504/1]
190263/504/1.f:DOAHDM_04030 -           1544 GH106.hmm            -            824  4.2e-275  919.4   0.0   3   3   1.2e-53   4.7e-51  178.3   0.1   659   823  1334  1536  1320  1537 0.95 [190263/504/1]
190263/388/1.f:FDDJJK_00855 -            951 GH106.hmm            -            824  6.8e-274  915.4   3.1   1   2   9.1e-35   3.7e-32  115.8   1.0     4   140    32   158    28   176 0.93 [190263/388/1]
190263/388/1.f:FDDJJK_00855 -            951 GH106.hmm            -            824  6.8e-274  915.4   3.1   2   2  1.3e-241  5.4e-239  800.0   0.0    94   823   211   945   180   946 0.97 [190263/388/1]
190263/391/1.f:NONBJF_00850 -            951 GH106.hmm            -            824  1.1e-272  911.4   2.3   1   1  9.9e-274    4e-271  906.3   2.3     4   823    32   945    28   946 0.98 [190263/391/1]
190263/534/1.f:OHCFJE_01615 -            951 GH106.hmm            -            824  3.3e-272  909.9   2.1   1   1  2.7e-273  1.1e-270  904.8   2.1     4   823    32   945    28   946 0.98 [190263/534/1]
190263/545/1.f:NCJBIN_00960 -            951 GH106.hmm            -            824  1.4e-271  907.8   2.5   1   1  1.2e-272  5.1e-270  902.6   2.5     4   823    32   945    28   946 0.98 [190263/545/1]
190263/540/1.f:BCGFLB_08620 -           1084 GH106.hmm            -            824  1.4e-271  907.8   0.1   1   2   4.2e-37   1.7e-34  123.5   0.1     2   165    36   186    34   199 0.91 [190263/540/1]
190263/540/1.f:BCGFLB_08620 -           1084 GH106.hmm            -            824  1.4e-271  907.8   0.1   2   2    3e-236  1.2e-233  782.3   0.0    91   822   346  1077   337  1079 0.97 [190263/540/1]
190263/401/1.f:DMFJNH_18265 -           1105 GH106.hmm            -            824  1.2e-268  898.0   2.5   1   3   1.6e-45   6.3e-43  151.4   0.4     2   162    31   184    29   197 0.95 [190263/401/1]
190263/401/1.f:DMFJNH_18265 -           1105 GH106.hmm            -            824  1.2e-268  898.0   2.5   2   3    6e-118  2.4e-115  391.0   0.0    94   457   362   724   339   742 0.94 [190263/401/1]
190263/401/1.f:DMFJNH_18265 -           1105 GH106.hmm            -            824  1.2e-268  898.0   2.5   3   3   1.6e-90   6.3e-88  300.3   1.2   552   822   824  1098   819  1100 0.91 [190263/401/1]
190263/504/1.f:DOAHDM_18995 -           1105 GH106.hmm            -            824  1.2e-268  898.0   2.5   1   3   1.6e-45   6.3e-43  151.4   0.4     2   162    31   184    29   197 0.95 [190263/504/1]
190263/504/1.f:DOAHDM_18995 -           1105 GH106.hmm            -            824  1.2e-268  898.0   2.5   2   3    6e-118  2.4e-115  391.0   0.0    94   457   362   724   339   742 0.94 [190263/504/1]
190263/504/1.f:DOAHDM_18995 -           1105 GH106.hmm            -            824  1.2e-268  898.0   2.5   3   3   1.6e-90   6.3e-88  300.3   1.2   552   822   824  1098   819  1100 0.91 [190263/504/1]
190263/366/1.f:DBJPFP_07115 -           1048 GH106.hmm            -            824  4.7e-266  889.5   0.0   1   2   4.1e-30   1.7e-27  100.4   0.1     3   144    32   163    29   184 0.93 [190263/366/1]
190263/366/1.f:DBJPFP_07115 -           1048 GH106.hmm            -            824  4.7e-266  889.5   0.0   2   2    1e-237  4.1e-235  787.1   0.0    92   821   324  1038   292  1041 0.97 [190263/366/1]
190263/404/1.f:BGJBIG_02685 -           1544 GH106.hmm            -            824  1.1e-265  888.3   0.0   1   3   5.7e-42   2.3e-39  139.7   0.0     2   158   356   501   354   510 0.97 [190263/404/1]
190263/404/1.f:BGJBIG_02685 -           1544 GH106.hmm            -            824  1.1e-265  888.3   0.0   2   3  4.3e-173  1.7e-170  573.4   0.0    95   657   540  1107   508  1138 0.93 [190263/404/1]
190263/404/1.f:BGJBIG_02685 -           1544 GH106.hmm            -            824  1.1e-265  888.3   0.0   3   3   3.8e-51   1.5e-48  170.0   0.0   662   823  1337  1536  1325  1537 0.94 [190263/404/1]
190263/475/1.f:MCKEEP_18480 -           1099 GH106.hmm            -            824  9.6e-264  881.9   6.5   1   3   3.8e-46   1.5e-43  153.5   0.5     2   157    31   179    29   195 0.95 [190263/475/1]
190263/475/1.f:MCKEEP_18480 -           1099 GH106.hmm            -            824  9.6e-264  881.9   6.5   2   3  7.3e-129  2.9e-126  427.1   0.0    93   509   360   821   333   827 0.92 [190263/475/1]
190263/475/1.f:MCKEEP_18480 -           1099 GH106.hmm            -            824  9.6e-264  881.9   6.5   3   3   1.9e-89   7.7e-87  296.7   0.7   553   822   819  1095   816  1097 0.93 [190263/475/1]
190263/564/1.f:KIHMBJ_07120 -           1081 GH106.hmm            -            824  1.4e-263  881.3   0.0   1   2   6.2e-37   2.5e-34  123.0   0.1     2   165    33   183    31   196 0.93 [190263/564/1]
190263/564/1.f:KIHMBJ_07120 -           1081 GH106.hmm            -            824  1.4e-263  881.3   0.0   2   2  2.2e-228    9e-226  756.3   0.0    93   823   343  1075   312  1076 0.96 [190263/564/1]
190263/573/1.f:LIDFCI_07225 -           1099 GH106.hmm            -            824    2e-263  880.8   5.5   1   3   8.8e-46   3.6e-43  152.3   0.5     2   157    31   179    29   195 0.95 [190263/573/1]
190263/573/1.f:LIDFCI_07225 -           1099 GH106.hmm            -            824    2e-263  880.8   5.5   2   3  8.9e-116  3.6e-113  383.8   0.0    93   457   360   719   333   737 0.94 [190263/573/1]
190263/573/1.f:LIDFCI_07225 -           1099 GH106.hmm            -            824    2e-263  880.8   5.5   3   3   2.7e-89   1.1e-86  296.2   0.5   553   822   819  1095   816  1097 0.92 [190263/573/1]
190263/552/1.f:EMALNL_17355 -           1099 GH106.hmm            -            824  2.1e-263  880.7   8.4   1   3   1.2e-46   4.8e-44  155.1   0.6     2   157    31   179    29   196 0.95 [190263/552/1]
190263/552/1.f:EMALNL_17355 -           1099 GH106.hmm            -            824  2.1e-263  880.7   8.4   2   3  1.7e-128    7e-126  425.8   0.0    93   508   360   820   342   825 0.91 [190263/552/1]
190263/552/1.f:EMALNL_17355 -           1099 GH106.hmm            -            824  2.1e-263  880.7   8.4   3   3   2.4e-89   9.7e-87  296.4   0.9   553   822   819  1095   816  1097 0.92 [190263/552/1]
190263/562/1.f:KJGNCK_18340 -           1099 GH106.hmm            -            824  1.2e-262  878.3   8.7   1   3   1.2e-46   4.8e-44  155.1   0.6     2   157    31   179    29   196 0.95 [190263/562/1]
190263/562/1.f:KJGNCK_18340 -           1099 GH106.hmm            -            824  1.2e-262  878.3   8.7   2   3  1.4e-128  5.8e-126  426.1   0.0    94   509   361   821   343   827 0.91 [190263/562/1]
