#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
190263/448/1.f:IBJDOL_17180 -           2876 GH94.hmm             -           1036         0 1540.1  15.7   1   2   9.9e-39   1.6e-35  126.7   2.4   280   435  1592  1761  1489  1780 0.82 [190263/448/1]
190263/448/1.f:IBJDOL_17180 -           2876 GH94.hmm             -           1036         0 1540.1  15.7   2   2         0         0 1418.9   5.6     1  1034  1796  2872  1796  2875 0.99 [190263/448/1]
190263/520/1.f:GGDGDE_04165 -            814 GH94.hmm             -           1036         0 1014.4   0.2   1   1         0         0 1014.2   0.2   263  1036     2   811     1   811 0.99 [190263/520/1]
190263/461/1.f:DHPHOK_02180 -            828 GH94.hmm             -           1036  9.1e-303 1011.5   0.7   1   1    7e-306  1.1e-302 1011.2   0.7   261  1035     3   824     1   826 0.98 [190263/461/1]
190263/369/1.f:JCDIFE_07105 -            830 GH94.hmm             -           1036  1.7e-302 1010.6   0.6   1   1  1.1e-305  1.9e-302 1010.5   0.6   261  1035     3   826     1   829 0.98 [190263/369/1]
190263/400/1.f:EIBLKL_09485 -            833 GH94.hmm             -           1036  3.5e-301 1006.2   3.3   1   1  2.6e-304  4.2e-301 1006.0   3.3   263  1036     2   830     1   830 0.99 [190263/400/1]
190263/495/1.f:ANKNCD_08190 -            814 GH94.hmm             -           1036  9.4e-301 1004.8   0.5   1   1  6.5e-304  1.1e-300 1004.6   0.5   263  1035     2   810     1   811 0.99 [190263/495/1]
190263/375/1.f:CNGHJF_09075 -            810 GH94.hmm             -           1036  1.2e-300 1004.5   0.0   1   1  8.9e-304  1.5e-300 1004.2   0.0   254  1036    13   810     3   810 0.98 [190263/375/1]
190263/423/1.f:PDNKFB_06880 -            817 GH94.hmm             -           1036    2e-300 1003.8   0.2   1   1  1.4e-303  2.2e-300 1003.6   0.2   263  1034     2   812     1   814 0.98 [190263/423/1]
190263/580/1.f:JCPJNN_23115 -            809 GH94.hmm             -           1036  1.3e-298  997.7   0.0   1   1  9.4e-302  1.5e-298  997.5   0.0   263  1034     2   804     1   806 0.99 [190263/580/1]
190263/513/1.f:MKNBNH_00320 -            827 GH94.hmm             -           1036  2.5e-297  993.5   3.4   1   1  1.7e-300  2.8e-297  993.3   3.4   263  1036     2   824     1   824 0.99 [190263/513/1]
190263/532/1.f:BGDBBA_02180 -            827 GH94.hmm             -           1036  9.9e-297  991.5   3.8   1   1  6.8e-300  1.1e-296  991.3   3.8   263  1036     2   824     1   824 0.99 [190263/532/1]
190263/433/1.f:ADFNDI_02540 -            811 GH94.hmm             -           1036  2.5e-296  990.2   0.0   1   1  1.7e-299  2.9e-296  990.0   0.0   263  1035     2   807     1   808 0.99 [190263/433/1]
190263/396/1.f:KAAOMA_02875 -            829 GH94.hmm             -           1036  6.4e-295  985.5   3.6   1   1  4.4e-298  7.2e-295  985.3   3.6   263  1034     2   823     1   826 0.99 [190263/396/1]
190263/412/1.f:OOIBGL_16145 -            827 GH94.hmm             -           1036  7.6e-294  982.0   1.6   1   1  5.3e-297  8.6e-294  981.8   1.6   263  1036     2   824     1   824 0.99 [190263/412/1]
190263/576/1.f:FNMBCG_12480 -            811 GH94.hmm             -           1036  4.9e-292  976.0   0.0   1   1  3.3e-295  5.5e-292  975.8   0.0   263  1036     2   808     1   808 0.99 [190263/576/1]
190263/460/1.f:IHFGKI_01075 -            831 GH94.hmm             -           1036  1.7e-291  974.1   4.4   1   1  1.2e-294    2e-291  974.0   4.4   261  1033     3   828     1   831 0.98 [190263/460/1]
190263/472/1.f:NMGHJI_17235 -            811 GH94.hmm             -           1036  1.9e-291  974.0   0.0   1   1  1.3e-294  2.1e-291  973.8   0.0   263  1035     2   807     1   808 0.99 [190263/472/1]
190263/546/1.f:GEHMID_15155 -            811 GH94.hmm             -           1036  2.9e-290  970.1   0.0   1   1    2e-293  3.3e-290  969.9   0.0   263  1036     2   808     1   808 0.99 [190263/546/1]
190263/595/1.f:HGDLEC_04050 -            814 GH94.hmm             -           1036  3.6e-289  966.5   1.0   1   1  2.5e-292    4e-289  966.3   1.0   261  1034     3   811     1   813 0.99 [190263/595/1]
190263/490/1.f:OIBLLI_13125 -            817 GH94.hmm             -           1036  4.4e-289  966.2   0.7   1   1    3e-292    5e-289  966.0   0.7   263  1036     2   815     1   815 0.99 [190263/490/1]
190263/390/1.f:OLPOLE_04105 -            811 GH94.hmm             -           1036  6.4e-287  959.0   0.0   1   1  4.4e-290  7.2e-287  958.9   0.0   263  1036     2   808     1   808 0.99 [190263/390/1]
190263/375/1.f:CNGHJF_19485 -            809 GH94.hmm             -           1036  7.6e-286  955.5   0.1   1   1  5.2e-289  8.6e-286  955.3   0.1   263  1033     2   803     1   806 0.98 [190263/375/1]
190263/546/1.f:GEHMID_10340 -            796 GH94.hmm             -           1036    3e-260  870.7   0.0   1   1  2.1e-263  3.4e-260  870.6   0.0   263  1035     2   792     1   793 0.97 [190263/546/1]
190263/409/1.f:AJJCMD_16705 -            802 GH94.hmm             -           1036  2.9e-259  867.5   0.1   1   1    2e-262  3.3e-259  867.3   0.1   263  1036     2   793     1   793 0.97 [190263/409/1]
190263/400/1.f:EIBLKL_00790 -            797 GH94.hmm             -           1036  1.4e-257  861.9   8.7   1   1    1e-260  1.6e-257  861.7   8.7   263  1023     2   782     1   795 0.97 [190263/400/1]
190263/390/1.f:OLPOLE_03510 -            795 GH94.hmm             -           1036  2.7e-254  851.0   0.0   1   1  1.9e-257  3.1e-254  850.8   0.0   263  1030     2   786     1   792 0.97 [190263/390/1]
190263/520/1.f:GGDGDE_11740 -            804 GH94.hmm             -           1036  2.6e-253  847.8   5.4   1   1  1.8e-256    3e-253  847.5   5.4   263  1031     2   796     1   801 0.94 [190263/520/1]
190263/423/1.f:PDNKFB_15700 -            803 GH94.hmm             -           1036  3.2e-253  847.4   4.8   1   1  2.3e-256  3.8e-253  847.2   4.8   263  1034     2   799     1   801 0.94 [190263/423/1]
190263/580/1.f:JCPJNN_01755 -            796 GH94.hmm             -           1036  6.3e-252  843.2   0.1   1   1  4.4e-255  7.2e-252  843.0   0.1   263  1036     2   793     1   793 0.97 [190263/580/1]
190263/478/1.f:BOCJFA_15700 -            804 GH94.hmm             -           1036  1.1e-251  842.3   3.2   1   1  7.8e-255  1.3e-251  842.2   3.2   263  1034     2   799     1   801 0.94 [190263/478/1]
