#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
190263/455/1.f:GDGJDA_10880 -           1701 CBM13.hmm            -            188  2.7e-139  465.9 134.9   1   7   2.9e-26   1.6e-22   85.1   8.6     5   139   507   648   502   652 0.86 [190263/455/1]
190263/455/1.f:GDGJDA_10880 -           1701 CBM13.hmm            -            188  2.7e-139  465.9 134.9   2   7   4.8e-19   2.7e-15   61.5  14.5     4   150   652   800   649   806 0.88 [190263/455/1]
190263/455/1.f:GDGJDA_10880 -           1701 CBM13.hmm            -            188  2.7e-139  465.9 134.9   3   7   7.7e-19   4.3e-15   60.9   7.7    18   138   806   928   791   936 0.78 [190263/455/1]
190263/455/1.f:GDGJDA_10880 -           1701 CBM13.hmm            -            188  2.7e-139  465.9 134.9   4   7     1e-23   5.8e-20   76.7  10.5    18   134   952  1074   940  1083 0.85 [190263/455/1]
190263/455/1.f:GDGJDA_10880 -           1701 CBM13.hmm            -            188  2.7e-139  465.9 134.9   5   7   1.1e-22   6.1e-19   73.4  17.3     4   137  1083  1222  1079  1231 0.88 [190263/455/1]
190263/455/1.f:GDGJDA_10880 -           1701 CBM13.hmm            -            188  2.7e-139  465.9 134.9   6   7   2.3e-17   1.3e-13   56.1   6.5    47   135  1232  1323  1223  1326 0.88 [190263/455/1]
190263/455/1.f:GDGJDA_10880 -           1701 CBM13.hmm            -            188  2.7e-139  465.9 134.9   7   7   1.3e-17   7.1e-14   56.9  10.6    46   140  1428  1523  1424  1546 0.82 [190263/455/1]
190263/455/1.f:GDGJDA_05360 -           1184 CBM13.hmm            -            188  5.1e-120  403.0 127.3   1   6   5.6e-18   3.1e-14   58.0   5.3    43   139   120   217    82   250 0.76 [190263/455/1]
190263/455/1.f:GDGJDA_05360 -           1184 CBM13.hmm            -            188  5.1e-120  403.0 127.3   2   6   3.7e-19   2.1e-15   61.9   6.2    46   132   429   518   418   522 0.90 [190263/455/1]
190263/455/1.f:GDGJDA_05360 -           1184 CBM13.hmm            -            188  5.1e-120  403.0 127.3   3   6   1.9e-18   1.1e-14   59.6   9.2     4   133   679   813   676   817 0.86 [190263/455/1]
190263/455/1.f:GDGJDA_05360 -           1184 CBM13.hmm            -            188  5.1e-120  403.0 127.3   4   6   7.5e-19   4.2e-15   60.9   9.6    14   149   739   875   738   879 0.83 [190263/455/1]
190263/455/1.f:GDGJDA_05360 -           1184 CBM13.hmm            -            188  5.1e-120  403.0 127.3   5   6   4.2e-24   2.3e-20   78.0  14.9     7   133   821   958   819   960 0.90 [190263/455/1]
190263/455/1.f:GDGJDA_05360 -           1184 CBM13.hmm            -            188  5.1e-120  403.0 127.3   6   6   2.6e-16   1.4e-12   52.6   9.3    58   137   928  1007   926  1016 0.86 [190263/455/1]
