taxon_oid	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	Genome Size  * assembled	Gene Count  * assembled
3300007778	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_C_H2O_MG	DOE Joint Genome Institute  (JGI)	3300007778	415175085	903882
3300007775	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_C_D2_MG	DOE Joint Genome Institute  (JGI)	3300007775	719889604	1309874
3300026167	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_B_D1_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026167	423177540	831373
3300008963	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_B_H2O_MG	DOE Joint Genome Institute  (JGI)	3300008963	308754489	676474
3300026172	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_B_D1_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026172	312785759	668799
3300007668	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_A_D2_MG	DOE Joint Genome Institute  (JGI)	3300007668	497073746	1035728
3300026251	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_B_D2_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026251	607470149	1188274
3300007619	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_A_D2_MG	DOE Joint Genome Institute  (JGI)	3300007619	612966947	1283195
3300009145	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG SF2_C_D1_MG	DOE Joint Genome Institute  (JGI)	3300009145	344897500	745508
3300026107	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_B_D1_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026107	121235774	312474
3300026127	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_C_D1_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026127	226995202	508719
3300007769	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_C_D1_MG	DOE Joint Genome Institute  (JGI)	3300007769	456622735	914465
3300026196	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2A_C_D2_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026196	423605485	872787
3300007635	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_A_D1_MG	DOE Joint Genome Institute  (JGI)	3300007635	689817367	1262075
3300026094	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond water microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R1_B_H2O_MG (SPAdes) (version 2)	DOE Joint Genome Institute  (JGI)	3300026094	164967192	331567
3300007983	*Microbiome	Permanent Draft	Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.	Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_C_D2_MG	DOE Joint Genome Institute  (JGI)	3300007983	504332060	940690
